ResponseId,condition,choice_set,choice_set_size,choice,scale_target_normalized
R_2bVJjEd9psaHeyP,dominant_beginning,ABC,p,0,0
R_1EbnAYvyb5dukH9,control,ABC,p,1,0.909090909
R_3DorANzIfbMW1g5,control,ABC,p,1,0.79
R_2xV1JEP9Bw5VbAI,control,ABC,p,1,0.756756757
R_2Xnd69enAK4uvw4,dominant_beginning,ABC,p,0,0
R_tKTb1LUWoc52JwZ,dominant_beginning,ABC,p,0,0.406779661
R_1ouUjwFSxRzZvno,control,ABC,p,0,0.5
R_urJu0BDeqsTFLvb,control,ABC,p,1,0
R_3FVQveuipRPaYww,dominant_beginning,ABC,p,1,1
R_2s71yHpHMFqGe5h,dominant_beginning,ABC,p,1,0.685714286
R_27s5Pq0TGvOsDTP,control,ABC,p,0,0.685714286
R_uh9OW5OFEuCyUTL,dominant_beginning,ABC,p,1,0.533333333
R_1LRIejjAHQQjPdz,control,ABC,p,0,0.969230769
R_eyXGmkNULpLdDI5,control,ABC,p,0,0.428571429
R_2VJxUugTcijXWLr,dominant_beginning,ABC,p,0,0.568627451
R_xhzTsmCPYZ1eqLD,control,ABC,p,0,1
R_242uliQqVophotu,dominant_beginning,ABC,p,0,0.424242424
R_1CCTYLGSE5IWTAW,control,ABC,p,0,0.655555556
R_1k1SKyoSXbBkGcb,control,ABC,p,0,1
R_3MMfkwos4AqGbC7,control,ABC,p,0,0.305555556
R_1QlstVuj1ZrD603,control,ABC,p,0,0.710526316
R_28FYQ710DtkQY2A,dominant_beginning,ABC,p,0,0.204081633
R_1GNugAyezpIeAZX,dominant_beginning,ABC,p,0,0.205882353
R_2U58IK7kxZc5BnQ,control,ABC,p,1,0.583333333
R_QlvlNdUKiSMPqVj,control,ABC,p,1,1
R_emnkFZn8QBVn20N,dominant_beginning,ABC,p,1,0.505154639
R_3P5k3tQ6n4OjFks,dominant_beginning,ABC,p,0,0.147540984
R_1jwcrTX0my0cod3,dominant_beginning,ABC,p,0,0
R_1GHzLiezODagDoM,dominant_beginning,ABC,p,1,0.4
R_1OB4Iu0Ricid66o,control,ABC,p,0,0.333333333
R_3D7qH9cvYfdu0xJ,dominant_beginning,ABC,p,0,0
R_23UF6wDeXpDNeAq,dominant_beginning,ABC,p,0,0.558139535
R_1C2pMc1C60Yoh87,dominant_beginning,ABC,p,0,0.25
R_3gNrDtiKnF5viaE,dominant_beginning,ABC,p,1,1
R_2xKuZhl7AQjqgq9,dominant_beginning,ABC,p,0,0.58490566
R_eULS8MfzdMFtFi9,control,ABC,p,0,0.023255814
R_3q7PBTzFWaX1LBt,control,ABC,p,0,0.8
R_20Oo4UwKGZy7DIH,dominant_beginning,ABC,p,0,0.366666667
R_3EQebZE8BCawlvf,control,ABC,p,0,0.107142857
R_1GBUdMLgydK3SLY,control,ABC,p,0,0.975609756
R_20PskDhRW206Qco,dominant_beginning,ABC,p,0,0
R_3R2TFifzpJRlM8q,dominant_beginning,ABC,p,1,0.848484848
R_339cvQcozcpX5JZ,dominant_beginning,ABC,p,0,0
R_2y4quW3zX9KuYfp,dominant_beginning,ABC,p,0,0
R_C318Kpy4IPg9s2J,dominant_beginning,ABC,p,0,0
R_W0gv1e5SAVZlQ2t,dominant_beginning,ABC,p,1,0.064516129
R_3NKynV4IaYINNPz,control,ABC,p,0,0.612244898
R_333huIoVfFSUA40,control,ABC,p,1,0.846153846
R_O8q9kFfaycIRKUh,control,ABC,p,1,0.6
R_1nNsuVCO6rHpQ4c,dominant_beginning,ABC,p,0,0
R_2D1RfQT6f1OoQya,dominant_beginning,ABC,p,0,0.166666667
R_3kiiB248bZI6WnS,control,ABC,p,1,1
R_1K2YGY0pDgTmvbp,control,ABC,p,0,0.097560976
R_31YEYIwvPerC1IM,control,ABC,p,0,0.584615385
R_28TEc1aGzHCTzR7,dominant_beginning,ABC,p,0,0.44
R_3Rf5wErBz7KX4gW,control,ABC,p,1,1
R_2TBOqtKXDZtFdIa,dominant_beginning,ABC,p,0,1
R_232zKrDY9yf19fK,dominant_beginning,ABC,p,1,0.822580645
R_2rqJQD4v2ifYPYr,control,ABC,p,0,1
R_3JfPMHZHEwiBLfD,dominant_beginning,ABC,p,1,0.833333333
R_3O2kuQTzxedL8xI,control,ABC,p,1,0.111111111
R_31Gj7WcZEHm6oXA,dominant_beginning,ABC,p,0,0.892857143
R_12qVWvucGWKmxqo,dominant_beginning,ABC,p,1,1
R_2f9VPZBCgQ6LtDz,dominant_beginning,ABC,p,0,0
R_cwJoXoitITSvZip,dominant_beginning,ABC,p,0,0.753846154
R_qwQEDavFdIIodFf,control,ABC,p,0,0.733333333
R_RCgclyT6sboSovv,control,ABC,p,0,0.8
R_3Dhgkx2iKVvWWtb,dominant_beginning,ABC,p,0,0
R_1dFVzhV1XQbIoTX,control,ABC,p,0,0.571428571
R_RR0oblkWUMnkObL,dominant_beginning,ABC,p,0,0.666666667
R_eqHDnWK1XCsPwWZ,dominant_beginning,ABC,p,0,0.448275862
R_2woxwCoPw1ExZnz,dominant_beginning,ABC,p,1,0.652173913
R_2rZ79sfB3IJcfgc,dominant_beginning,ABC,t,1,0.619047619
R_12zld9OheabhJJo,control,ABC,t,0,0.7
R_3pnXV1vd7TpR7M1,dominant_beginning,ABC,t,1,0
R_3lKtw6RNLriw85Y,dominant_beginning,ABC,t,0,0.383333333
R_3g1mrvICQTAQQDZ,dominant_beginning,ABC,t,0,0.47761194
R_BqSovQvemNevD6p,control,ABC,t,1,0
R_3mfL6Iml7yRP9Li,dominant_beginning,ABC,t,0,0
R_UQNgE0PdBYDBzdT,dominant_beginning,ABC,t,0,0.481481481
R_29iwxtpA8UvNmS0,control,ABC,t,0,0.588235294
R_24ov6gwobE09tVi,control,ABC,t,1,0.661538462
R_3kFVbemPYxc9czV,dominant_beginning,ABC,t,1,0.666666667
R_eEf40FKeh4EPDK9,dominant_beginning,ABC,t,0,0.529411765
R_pxCjNX1BQ3epj7X,control,ABC,t,0,0.432432432
R_3Kuo0WNaZ6CwzOz,dominant_beginning,ABC,t,1,1
R_dgl0K41Zm4cuX0R,dominant_beginning,ABC,t,0,0
R_31XAWHmzLuf1pMu,dominant_beginning,ABC,t,0,0.222222222
R_UMI7fsJJP2JZ5mx,dominant_beginning,ABC,t,0,1
R_2eWPuMUhi01tc34,control,ABC,t,0,0.12195122
R_2P5T6tbhMdEv2ls,dominant_beginning,ABC,t,1,0.6
R_1dE6MdUlsIAvfMY,dominant_beginning,ABC,t,0,0.85
R_cGTIf6BonojIZNf,control,ABC,t,0,0.25
R_2RXtyPE5EenTiC9,control,ABC,t,0,0.791666667
R_1igtPYhnmr5MDqW,control,ABC,t,0,0.296296296
R_1Io8NTHZKFnTMtb,dominant_beginning,ABC,t,0,0.649350649
R_2ToQoMhd0ZFK7kG,control,ABC,t,1,0.882352941
R_uaB2WX02Y593UE9,control,ABC,t,0,0.620689655
R_UiuT3y4X0gKuEXn,control,ABC,t,0,1
R_25uuM8mCezTMxny,dominant_beginning,ABC,t,0,0.526315789
R_2zTicro2EEHwyES,control,ABC,t,0,0.662337662
R_2pM42JCKwEuP2bR,dominant_beginning,ABC,t,1,0.304347826
R_2YaZOfa5nZHuku1,control,ABC,t,1,0.53
R_3EG2dzhYtEN69eb,dominant_beginning,ABC,t,1,0
R_dgtikaHV1c4BLXj,dominant_beginning,ABC,t,0,0
R_20PqdCRIeS9kLtM,control,ABC,t,0,0.786885246
R_2dQmFXofD65TlAQ,dominant_beginning,ABC,t,0,0.5
R_a4PM5FjC4p35R2V,control,ABC,t,1,0.5
R_1KlpJIfsAlfYcYw,control,ABC,t,1,0.179487179
R_3LkfXYOgyLgHkiq,dominant_beginning,ABC,t,1,0.697674419
R_eOJlYamNyDsicJb,control,ABC,t,1,0.641025641
R_1hVWgbL4fElq2co,dominant_beginning,ABC,t,1,0
R_2uL4nz6dHTMfqT0,control,ABC,t,0,0.5
R_33jnFWT9Vp7U15o,dominant_beginning,ABC,t,0,0.784615385
R_2q487Z7cZbBAxxp,control,ABC,t,0,0.558139535
R_3fGETYShK05Pdcx,dominant_beginning,ABC,t,0,0.283018868
R_1oiJ7gnDPesCrIA,dominant_beginning,ABC,t,0,0
R_0qZHhBL0RuDc3EB,control,ABC,t,1,1
R_1IyofHKI4iAjvjc,control,ABC,t,0,1
R_zVwWpxWIHBmm7Lz,dominant_beginning,ABC,t,0,0.368421053
R_24LSc4f2zAcXlNf,control,ABC,t,1,0.811594203
R_1JEYpUntz2GWGeO,control,ABC,t,1,0.72
R_3EK19msaXnj6MTI,control,ABC,t,0,0.666666667
R_VUbVeK4LSOVZvmV,control,ABC,t,0,0.75
R_3Oq8RaTsD2y4Zzn,dominant_beginning,ABC,t,1,0
R_PXkGE5VVXCtwQSZ,dominant_beginning,ABC,t,0,0.552941176
R_3qlLuWbq9KEYgnQ,control,ABC,t,1,0.24
R_AnW3mfczyEAN7HP,control,ABC,t,1,0.85
R_2S0Kc9HLUibEPng,control,ABC,t,1,0.887096774
R_2zHG1IG1rgGuvYq,dominant_beginning,ABC,t,0,0.773584906
R_2sdtkSeA1TYYsGh,dominant_beginning,ABC,t,0,0.666666667
R_3Pn7zWQ4ouxk3lH,control,ABC,t,0,0.744897959
R_2VmCyPGV7XN9FhM,control,ABC,t,0,0.75
R_3Eg5gL0ZmIeBBqD,control,ABC,t,0,0.153846154
R_3dFYMfSz4xU3b9l,control,ABC,t,1,0.8
R_4UtFzve2VDAu5zP,control,ABC,t,1,0.958333333
R_1DoheIW3AuKjm0p,control,ABC,t,0,0.333333333
R_3GwSZYtnpEaY3FE,control,ABC,t,1,1
R_1giPzwd5IMqc6Y9,dominant_beginning,ABC,t,0,0.6875
R_3MKlv71SpPCJPsl,control,ABC,t,0,1
R_2YEc7YbEL098QNu,control,ABC,t,0,0.535714286
R_xAzPaot27t61Y4h,dominant_beginning,ABC,t,0,0
R_ULVNpl6bWSEmrNn,control,ABC,t,0,1
R_O73htIBm7lkSPsJ,dominant_beginning,ABC,t,0,0.333333333
R_2TI9RXGOhmKooVm,control,ABC,t,0,0.529411765
R_oZB8QxBtTlfc2C5,control,ABC,t,0,0.692307692
R_3NCnw1vwql1dFoG,control,ABC,t,0,0.88
R_2rZ79sfB3IJcfgc,dominant_beginning,DEF,p,1,0.952380952
R_12zld9OheabhJJo,control,DEF,p,0,0.7
R_3pnXV1vd7TpR7M1,dominant_beginning,DEF,p,0,0
R_3lKtw6RNLriw85Y,dominant_beginning,DEF,p,0,0.283333333
R_3g1mrvICQTAQQDZ,dominant_beginning,DEF,p,0,0.52238806
R_BqSovQvemNevD6p,control,DEF,p,1,0
R_3mfL6Iml7yRP9Li,dominant_beginning,DEF,p,0,0
R_UQNgE0PdBYDBzdT,dominant_beginning,DEF,p,0,0.481481481
R_29iwxtpA8UvNmS0,control,DEF,p,0,0.588235294
R_24ov6gwobE09tVi,control,DEF,p,0,0.661538462
R_3kFVbemPYxc9czV,dominant_beginning,DEF,p,1,0.611111111
R_eEf40FKeh4EPDK9,dominant_beginning,DEF,p,0,0.470588235
R_pxCjNX1BQ3epj7X,control,DEF,p,1,0.918918919
R_3Kuo0WNaZ6CwzOz,dominant_beginning,DEF,p,1,1
R_dgl0K41Zm4cuX0R,dominant_beginning,DEF,p,1,1
R_31XAWHmzLuf1pMu,dominant_beginning,DEF,p,0,0.8
R_UMI7fsJJP2JZ5mx,dominant_beginning,DEF,p,0,0.76
R_2eWPuMUhi01tc34,control,DEF,p,0,0.12195122
R_2P5T6tbhMdEv2ls,dominant_beginning,DEF,p,0,0.4
R_1dE6MdUlsIAvfMY,dominant_beginning,DEF,p,0,0.45
R_cGTIf6BonojIZNf,control,DEF,p,0,0.65625
R_2RXtyPE5EenTiC9,control,DEF,p,0,0.791666667
R_1igtPYhnmr5MDqW,control,DEF,p,0,0.277777778
R_1Io8NTHZKFnTMtb,dominant_beginning,DEF,p,1,0.792207792
R_2ToQoMhd0ZFK7kG,control,DEF,p,0,0.588235294
R_uaB2WX02Y593UE9,control,DEF,p,0,0.637931034
R_UiuT3y4X0gKuEXn,control,DEF,p,1,1
R_25uuM8mCezTMxny,dominant_beginning,DEF,p,0,0.763157895
R_2zTicro2EEHwyES,control,DEF,p,0,0.649350649
R_2pM42JCKwEuP2bR,dominant_beginning,DEF,p,0,0.434782609
R_2YaZOfa5nZHuku1,control,DEF,p,0,0.43
R_3EG2dzhYtEN69eb,dominant_beginning,DEF,p,1,0.111111111
R_dgtikaHV1c4BLXj,dominant_beginning,DEF,p,0,0
R_20PqdCRIeS9kLtM,control,DEF,p,0,0.737704918
R_2dQmFXofD65TlAQ,dominant_beginning,DEF,p,0,0.454545455
R_a4PM5FjC4p35R2V,control,DEF,p,0,0
R_1KlpJIfsAlfYcYw,control,DEF,p,1,0
R_3LkfXYOgyLgHkiq,dominant_beginning,DEF,p,1,0.720930233
R_eOJlYamNyDsicJb,control,DEF,p,1,0.615384615
R_1hVWgbL4fElq2co,dominant_beginning,DEF,p,1,0
R_2uL4nz6dHTMfqT0,control,DEF,p,0,0.583333333
R_33jnFWT9Vp7U15o,dominant_beginning,DEF,p,0,0.784615385
R_2q487Z7cZbBAxxp,control,DEF,p,0,0.372093023
R_3fGETYShK05Pdcx,dominant_beginning,DEF,p,0,0.471698113
R_1oiJ7gnDPesCrIA,dominant_beginning,DEF,p,0,0
R_0qZHhBL0RuDc3EB,control,DEF,p,1,0.742857143
R_1IyofHKI4iAjvjc,control,DEF,p,0,0.857142857
R_zVwWpxWIHBmm7Lz,dominant_beginning,DEF,p,0,0.842105263
R_24LSc4f2zAcXlNf,control,DEF,p,1,0.855072464
R_1JEYpUntz2GWGeO,control,DEF,p,0,0.48
R_3EK19msaXnj6MTI,control,DEF,p,0,0.5
R_VUbVeK4LSOVZvmV,control,DEF,p,0,0.625
R_3Oq8RaTsD2y4Zzn,dominant_beginning,DEF,p,1,0.689189189
R_PXkGE5VVXCtwQSZ,dominant_beginning,DEF,p,1,0.870588235
R_3qlLuWbq9KEYgnQ,control,DEF,p,1,0.6
R_AnW3mfczyEAN7HP,control,DEF,p,1,0.925
R_2S0Kc9HLUibEPng,control,DEF,p,1,0.838709677
R_2zHG1IG1rgGuvYq,dominant_beginning,DEF,p,0,0.773584906
R_2sdtkSeA1TYYsGh,dominant_beginning,DEF,p,1,0.333333333
R_3Pn7zWQ4ouxk3lH,control,DEF,p,0,0.755102041
R_2VmCyPGV7XN9FhM,control,DEF,p,0,0.4
R_3Eg5gL0ZmIeBBqD,control,DEF,p,0,0.153846154
R_3dFYMfSz4xU3b9l,control,DEF,p,1,0.7
R_4UtFzve2VDAu5zP,control,DEF,p,1,1
R_1DoheIW3AuKjm0p,control,DEF,p,1,0.777777778
R_3GwSZYtnpEaY3FE,control,DEF,p,1,1
R_1giPzwd5IMqc6Y9,dominant_beginning,DEF,p,0,0.5625
R_3MKlv71SpPCJPsl,control,DEF,p,0,1
R_2YEc7YbEL098QNu,control,DEF,p,0,0.476190476
R_xAzPaot27t61Y4h,dominant_beginning,DEF,p,0,0
R_ULVNpl6bWSEmrNn,control,DEF,p,0,0
R_O73htIBm7lkSPsJ,dominant_beginning,DEF,p,0,0.75
R_2TI9RXGOhmKooVm,control,DEF,p,0,0.117647059
R_oZB8QxBtTlfc2C5,control,DEF,p,0,0.692307692
R_3NCnw1vwql1dFoG,control,DEF,p,0,0.74
R_2bVJjEd9psaHeyP,dominant_beginning,DEF,t,0,0.05
R_1EbnAYvyb5dukH9,control,DEF,t,1,1
R_3DorANzIfbMW1g5,control,DEF,t,1,0.71
R_2xV1JEP9Bw5VbAI,control,DEF,t,0,0
R_2Xnd69enAK4uvw4,dominant_beginning,DEF,t,1,0.266666667
R_tKTb1LUWoc52JwZ,dominant_beginning,DEF,t,0,0.576271186
R_1ouUjwFSxRzZvno,control,DEF,t,1,0.518518519
R_urJu0BDeqsTFLvb,control,DEF,t,1,0
R_3FVQveuipRPaYww,dominant_beginning,DEF,t,1,1
R_2s71yHpHMFqGe5h,dominant_beginning,DEF,t,0,0.628571429
R_27s5Pq0TGvOsDTP,control,DEF,t,1,0.942857143
R_uh9OW5OFEuCyUTL,dominant_beginning,DEF,t,0,0
R_1LRIejjAHQQjPdz,control,DEF,t,0,0.769230769
R_eyXGmkNULpLdDI5,control,DEF,t,0,1
R_2VJxUugTcijXWLr,dominant_beginning,DEF,t,0,0.607843137
R_xhzTsmCPYZ1eqLD,control,DEF,t,0,0.714285714
R_242uliQqVophotu,dominant_beginning,DEF,t,0,0.424242424
R_1CCTYLGSE5IWTAW,control,DEF,t,0,0.544444444
R_1k1SKyoSXbBkGcb,control,DEF,t,1,0.9375
R_3MMfkwos4AqGbC7,control,DEF,t,1,1
R_1QlstVuj1ZrD603,control,DEF,t,0,0.710526316
R_28FYQ710DtkQY2A,dominant_beginning,DEF,t,0,0.020408163
R_1GNugAyezpIeAZX,dominant_beginning,DEF,t,0,0.205882353
R_2U58IK7kxZc5BnQ,control,DEF,t,1,0.666666667
R_QlvlNdUKiSMPqVj,control,DEF,t,0,1
R_emnkFZn8QBVn20N,dominant_beginning,DEF,t,1,0.505154639
R_3P5k3tQ6n4OjFks,dominant_beginning,DEF,t,0,0.163934426
R_1jwcrTX0my0cod3,dominant_beginning,DEF,t,0,0
R_1GHzLiezODagDoM,dominant_beginning,DEF,t,1,0.766666667
R_1OB4Iu0Ricid66o,control,DEF,t,0,0.333333333
R_3D7qH9cvYfdu0xJ,dominant_beginning,DEF,t,0,0
R_23UF6wDeXpDNeAq,dominant_beginning,DEF,t,0,0.418604651
R_1C2pMc1C60Yoh87,dominant_beginning,DEF,t,0,0.25
R_3gNrDtiKnF5viaE,dominant_beginning,DEF,t,1,1
R_2xKuZhl7AQjqgq9,dominant_beginning,DEF,t,0,0.433962264
R_eULS8MfzdMFtFi9,control,DEF,t,1,0.023255814
R_3q7PBTzFWaX1LBt,control,DEF,t,0,0.942857143
R_20Oo4UwKGZy7DIH,dominant_beginning,DEF,t,0,0.366666667
R_3EQebZE8BCawlvf,control,DEF,t,0,0.464285714
R_1GBUdMLgydK3SLY,control,DEF,t,0,0.609756098
R_20PskDhRW206Qco,dominant_beginning,DEF,t,0,0
R_3R2TFifzpJRlM8q,dominant_beginning,DEF,t,1,0.878787879
R_339cvQcozcpX5JZ,dominant_beginning,DEF,t,0,0
R_2y4quW3zX9KuYfp,dominant_beginning,DEF,t,1,0.423076923
R_C318Kpy4IPg9s2J,dominant_beginning,DEF,t,0,0
R_W0gv1e5SAVZlQ2t,dominant_beginning,DEF,t,0,0
R_3NKynV4IaYINNPz,control,DEF,t,1,0.897959184
R_333huIoVfFSUA40,control,DEF,t,1,1
R_O8q9kFfaycIRKUh,control,DEF,t,0,0.333333333
R_1nNsuVCO6rHpQ4c,dominant_beginning,DEF,t,0,0.5
R_2D1RfQT6f1OoQya,dominant_beginning,DEF,t,0,0.181818182
R_3kiiB248bZI6WnS,control,DEF,t,0,1
R_1K2YGY0pDgTmvbp,control,DEF,t,0,0.231707317
R_31YEYIwvPerC1IM,control,DEF,t,0,0.6
R_28TEc1aGzHCTzR7,dominant_beginning,DEF,t,0,0.34
R_3Rf5wErBz7KX4gW,control,DEF,t,1,1
R_2TBOqtKXDZtFdIa,dominant_beginning,DEF,t,0,0.666666667
R_232zKrDY9yf19fK,dominant_beginning,DEF,t,1,0.919354839
R_2rqJQD4v2ifYPYr,control,DEF,t,0,0.72
R_3JfPMHZHEwiBLfD,dominant_beginning,DEF,t,1,0.833333333
R_3O2kuQTzxedL8xI,control,DEF,t,0,0.37037037
R_31Gj7WcZEHm6oXA,dominant_beginning,DEF,t,1,0.964285714
R_12qVWvucGWKmxqo,dominant_beginning,DEF,t,1,1
R_2f9VPZBCgQ6LtDz,dominant_beginning,DEF,t,0,0.214285714
R_cwJoXoitITSvZip,dominant_beginning,DEF,t,0,0.753846154
R_qwQEDavFdIIodFf,control,DEF,t,1,0.933333333
R_RCgclyT6sboSovv,control,DEF,t,0,0.333333333
R_3Dhgkx2iKVvWWtb,dominant_beginning,DEF,t,0,0
R_1dFVzhV1XQbIoTX,control,DEF,t,1,0.657142857
R_RR0oblkWUMnkObL,dominant_beginning,DEF,t,1,0.666666667
R_eqHDnWK1XCsPwWZ,dominant_beginning,DEF,t,1,0.344827586
R_2woxwCoPw1ExZnz,dominant_beginning,DEF,t,0,0.666666667
